Date,Meal,Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Meal_Time,Water_ml
2022-02-25,Breakfast,Pancakes,507.0,42.8,61.0,16.2,08:00,72.0
2022-02-25,Lunch,Dal,392.0,44.7,,13.6,13:00,710.0
2022-02-25,Supper,,,,,,,
2022-02-25,Dinner,Tofu,383.0,14.9,,30.1,20:30,877.0
2022-02-26,Breakfast,Poha,487.0,16.1,57.7,,,666.0
2022-02-26,Lunch,Salad,422.0,29.2,87.8,19.7,13:00,861.0
2022-02-26,Supper,Sprouts,292.0,,67.3,12.1,,224.0
2022-02-26,Dinner,Khichdi,664.0,34.3,88.9,14.5,20:30,313.0
2022-02-27,Breakfast,Smoothie,671.0,24.9,33.5,31.9,08:00,1083.0
2022-02-27,Lunch,Paneer,335.0,43.7,41.2,11.6,13:00,615.0
2022-02-27,Supper,Sprouts,314.0,21.3,,,17:00,235.0
2022-02-27,Dinner,Vegetables,440.0,27.5,42.3,12.0,20:30,630.0
2022-02-28,Breakfast,Oats,378.0,38.3,30.0,15.5,08:00,2289.0
2022-02-28,Lunch,Dal,463.0,32.3,64.9,9.8,13:00,105.0
2022-02-28,Supper,Sprouts,449.0,,,9.9,17:00,79.0
2022-02-28,Dinner,Tofu,477.0,22.2,75.4,,20:30,787.0
2022-03-01,Breakfast,,,,,,,
2022-03-01,Lunch,Rice,699.0,33.4,,14.9,13:00,1501.0
2022-03-01,Supper,Yogurt,398.0,14.4,55.8,11.1,17:00,999.0
2022-03-01,Dinner,Fish,520.0,13.9,63.9,10.6,20:30,169.0
2022-03-02,Breakfast,Smoothie,482.0,29.0,66.3,14.0,08:00,
2022-03-02,Lunch,Curd,399.0,44.5,85.9,9.2,13:00,393.0
2022-03-02,Supper,,,,,,,
2022-03-02,Dinner,,,,,,,
2022-03-03,Breakfast,Pancakes,279.0,40.6,66.4,,08:00,1034.0
2022-03-03,Lunch,Rice,637.0,13.5,51.1,29.6,13:00,823.0
2022-03-03,Supper,Fruit,361.0,37.4,,8.1,17:00,409.0
2022-03-03,Dinner,Roti,269.0,21.4,34.7,16.3,20:30,964.0
2022-03-04,Breakfast,Poha,509.0,16.3,50.2,18.9,08:00,1931.0
2022-03-04,Lunch,Salad,637.0,11.8,,24.2,13:00,3.0
2022-03-04,Supper,Sprouts,325.0,37.5,71.0,29.3,17:00,349.0
2022-03-04,Dinner,,,,,,,
2022-03-05,Breakfast,Oats,650.0,32.3,57.3,12.8,08:00,1010.0
2022-03-05,Lunch,,,,,,,
2022-03-05,Supper,,,,,,,
2022-03-05,Dinner,Khichdi,310.0,44.3,35.7,26.9,20:30,222.0
2022-03-06,Breakfast,,,,,,,
2022-03-06,Lunch,Paneer,605.0,14.7,30.2,27.7,13:00,868.0
2022-03-06,Supper,,,,,,,
2022-03-06,Dinner,Soup,613.0,14.7,,,20:30,800.0
2022-03-07,Breakfast,,,,,,,
2022-03-07,Lunch,Curd,293.0,15.5,80.5,9.3,13:00,139.0
2022-03-07,Supper,,,,,,,
2022-03-07,Dinner,Tofu,376.0,18.3,72.6,22.8,20:30,556.0
2022-03-08,Breakfast,Toast,620.0,,64.6,17.4,08:00,239.0
2022-03-08,Lunch,Rice,330.0,44.3,39.8,18.9,13:00,854.0
2022-03-08,Supper,Yogurt,314.0,25.0,,25.9,17:00,178.0
2022-03-08,Dinner,Soup,593.0,37.5,32.3,17.6,20:30,670.0
2022-03-09,Breakfast,,,,,,,
2022-03-09,Lunch,Salad,519.0,18.4,,,13:00,132.0
2022-03-09,Supper,,,,,,,
2022-03-09,Dinner,Roti,291.0,27.4,31.9,25.7,20:30,1216.0
2022-03-10,Breakfast,Eggs,291.0,25.7,61.3,12.5,08:00,328.0
2022-03-10,Lunch,Salad,378.0,11.2,48.6,27.8,13:00,901.0
2022-03-10,Supper,Fruit,261.0,35.9,45.8,34.7,17:00,191.0
2022-03-10,Dinner,Fish,472.0,,,26.5,20:30,1989.0
2022-03-11,Breakfast,Toast,699.0,38.8,54.9,17.7,08:00,844.0
2022-03-11,Lunch,Chicken,439.0,35.2,52.3,32.4,13:00,384.0
2022-03-11,Supper,Fruit,574.0,,79.8,,17:00,
2022-03-11,Dinner,Tofu,450.0,,89.5,10.0,20:30,186.0
2022-03-12,Breakfast,Toast,501.0,33.3,41.9,,08:00,336.0
2022-03-12,Lunch,,,,,,,
2022-03-12,Supper,,,,,,,
2022-03-12,Dinner,Soup,577.0,14.5,,29.7,,461.0
2022-03-13,Breakfast,Poha,312.0,29.6,65.8,22.4,08:00,
2022-03-13,Lunch,Rice,535.0,11.6,,15.7,13:00,337.0
2022-03-13,Supper,Nuts,317.0,40.7,82.0,16.9,17:00,512.0
2022-03-13,Dinner,Tofu,517.0,30.4,,31.1,20:30,1122.0
2022-03-14,Breakfast,Smoothie,687.0,25.2,75.3,24.3,08:00,46.0
2022-03-14,Lunch,Paneer,428.0,18.3,58.3,10.8,13:00,2145.0
2022-03-14,Supper,Fruit,506.0,,,32.1,17:00,18.0
2022-03-14,Dinner,Fish,698.0,25.8,55.7,24.8,20:30,815.0
2022-03-15,Breakfast,Oats,441.0,27.9,,33.2,08:00,32.0
2022-03-15,Lunch,Rice,288.0,27.3,70.6,34.8,13:00,97.0
2022-03-15,Supper,Sprouts,358.0,31.3,45.1,,17:00,
2022-03-15,Dinner,,,,,,,
2022-03-16,Breakfast,Smoothie,331.0,13.2,63.8,22.8,08:00,1139.0
2022-03-16,Lunch,,,,,,,
2022-03-16,Supper,Sprouts,354.0,32.6,82.7,,17:00,607.0
2022-03-16,Dinner,,,,,,,
2022-03-17,Breakfast,Poha,517.0,,56.6,23.6,08:00,155.0
2022-03-17,Lunch,Rice,543.0,39.6,70.0,19.6,13:00,1725.0
2022-03-17,Supper,,,,,,,
2022-03-17,Dinner,,,,,,,
2022-03-18,Breakfast,,,,,,,
2022-03-18,Lunch,,,,,,,
2022-03-18,Supper,Fruit,367.0,34.7,69.7,18.1,17:00,1251.0
2022-03-18,Dinner,Soup,524.0,10.9,,25.2,20:30,665.0
2022-03-19,Breakfast,Toast,316.0,,50.0,9.1,,57.0
2022-03-19,Lunch,Paneer,279.0,14.6,79.3,18.0,13:00,94.0
2022-03-19,Supper,,,,,,,
2022-03-19,Dinner,Khichdi,326.0,31.2,34.9,8.8,20:30,133.0
2022-03-20,Breakfast,Oats,590.0,22.0,42.6,34.1,08:00,862.0
2022-03-20,Lunch,,,,,,,
2022-03-20,Supper,Yogurt,388.0,17.3,75.9,27.8,17:00,446.0
2022-03-20,Dinner,Soup,254.0,26.6,60.3,14.1,20:30,321.0
2022-03-21,Breakfast,,,,,,,
2022-03-21,Lunch,Curd,266.0,43.2,58.3,10.5,13:00,2133.0
2022-03-21,Supper,Nuts,452.0,42.2,48.5,27.6,17:00,1175.0
2022-03-21,Dinner,Khichdi,412.0,17.0,32.1,31.1,,66.0
2022-03-22,Breakfast,Poha,420.0,40.5,59.3,25.1,08:00,99.0
2022-03-22,Lunch,Curd,552.0,,,,13:00,525.0
2022-03-22,Supper,Sprouts,390.0,36.4,75.0,25.8,17:00,570.0
2022-03-22,Dinner,Tofu,633.0,34.1,26.6,16.3,20:30,
2022-03-23,Breakfast,,,,,,,
2022-03-23,Lunch,Chicken,699.0,34.9,68.3,13.7,13:00,1200.0
2022-03-23,Supper,,,,,,,
2022-03-23,Dinner,Tofu,470.0,30.4,,22.8,20:30,423.0
2022-03-24,Breakfast,Eggs,263.0,26.2,40.3,,08:00,431.0
2022-03-24,Lunch,Salad,368.0,15.6,82.3,30.2,13:00,637.0
2022-03-24,Supper,Sprouts,403.0,35.0,63.6,32.2,17:00,
2022-03-24,Dinner,Soup,388.0,38.9,33.4,23.3,20:30,54.0
2022-03-25,Breakfast,Eggs,424.0,15.8,71.3,26.0,08:00,16.0
2022-03-25,Lunch,,,,,,,
2022-03-25,Supper,,,,,,,
2022-03-25,Dinner,Khichdi,589.0,37.4,66.9,9.3,20:30,688.0
2022-03-26,Breakfast,Eggs,265.0,23.0,81.5,27.7,,1945.0
2022-03-26,Lunch,Salad,523.0,35.8,88.3,9.4,13:00,
2022-03-26,Supper,Sprouts,562.0,,75.8,22.7,17:00,798.0
2022-03-26,Dinner,,,,,,,
2022-03-27,Breakfast,Pancakes,420.0,40.7,27.7,18.7,08:00,806.0
2022-03-27,Lunch,Salad,532.0,30.1,30.0,18.3,13:00,242.0
2022-03-27,Supper,Yogurt,256.0,22.2,49.2,8.0,17:00,
2022-03-27,Dinner,,,,,,,
2022-03-28,Breakfast,Oats,406.0,18.6,,28.2,08:00,842.0
2022-03-28,Lunch,Salad,683.0,32.6,61.5,29.0,13:00,698.0
2022-03-28,Supper,Nuts,550.0,19.7,88.8,22.2,17:00,496.0
2022-03-28,Dinner,Tofu,465.0,35.4,60.0,9.6,20:30,93.0
2022-03-29,Breakfast,Pancakes,639.0,19.6,77.5,,08:00,539.0
2022-03-29,Lunch,Salad,484.0,33.6,33.9,34.9,13:00,198.0
2022-03-29,Supper,Sandwich,297.0,24.2,86.9,22.1,17:00,496.0
2022-03-29,Dinner,,,,,,,
2022-03-30,Breakfast,Eggs,667.0,36.5,35.5,20.9,08:00,505.0
2022-03-30,Lunch,,,,,,,
2022-03-30,Supper,Yogurt,591.0,39.9,64.2,30.6,17:00,
2022-03-30,Dinner,Fish,501.0,16.2,58.5,29.8,20:30,
2022-03-31,Breakfast,Toast,653.0,36.4,84.7,33.7,08:00,1525.0
2022-03-31,Lunch,Dal,331.0,33.0,,13.2,13:00,
2022-03-31,Supper,Yogurt,442.0,16.1,81.3,15.6,17:00,354.0
2022-03-31,Dinner,Fish,620.0,19.9,47.9,32.1,20:30,323.0
2022-04-01,Breakfast,Poha,573.0,,82.2,,08:00,601.0
2022-04-01,Lunch,,,,,,,
2022-04-01,Supper,Yogurt,253.0,15.3,81.9,,17:00,1838.0
2022-04-01,Dinner,Roti,498.0,12.1,48.5,,20:30,68.0
2022-04-02,Breakfast,,,,,,,
2022-04-02,Lunch,Chicken,279.0,21.4,71.3,30.1,13:00,594.0
2022-04-02,Supper,,,,,,,
2022-04-02,Dinner,Tofu,462.0,29.0,34.7,,20:30,241.0
2022-04-03,Breakfast,,,,,,,
2022-04-03,Lunch,Paneer,606.0,13.6,58.4,21.7,13:00,901.0
2022-04-03,Supper,,,,,,,
2022-04-03,Dinner,Vegetables,447.0,42.2,70.1,27.7,20:30,1228.0
2022-04-04,Breakfast,Oats,520.0,,50.2,32.5,08:00,759.0
2022-04-04,Lunch,Chicken,438.0,13.4,61.3,21.5,13:00,583.0
2022-04-04,Supper,Sprouts,489.0,38.0,60.9,18.7,17:00,300.0
2022-04-04,Dinner,Tofu,620.0,27.6,29.6,16.4,20:30,418.0
2022-04-05,Breakfast,Oats,661.0,24.2,29.4,29.2,08:00,
2022-04-05,Lunch,Salad,538.0,32.5,68.6,25.1,13:00,589.0
2022-04-05,Supper,Yogurt,568.0,25.1,88.7,9.8,17:00,1313.0
2022-04-05,Dinner,Khichdi,331.0,34.7,52.5,17.4,20:30,550.0
2022-04-06,Breakfast,,,,,,,
2022-04-06,Lunch,Dal,290.0,13.2,63.9,,13:00,67.0
2022-04-06,Supper,Yogurt,322.0,34.7,64.7,16.4,17:00,66.0
2022-04-06,Dinner,Fish,558.0,43.1,72.9,31.8,20:30,2546.0
2022-04-07,Breakfast,Poha,355.0,35.9,39.0,26.0,08:00,
2022-04-07,Lunch,Rice,661.0,40.1,78.1,21.8,13:00,1466.0
2022-04-07,Supper,Yogurt,461.0,,67.5,,17:00,
2022-04-07,Dinner,Vegetables,681.0,41.9,48.1,19.5,20:30,676.0
2022-04-08,Breakfast,,,,,,,
2022-04-08,Lunch,Rice,625.0,44.6,43.9,28.8,13:00,532.0
2022-04-08,Supper,Fruit,431.0,40.1,27.3,29.3,17:00,151.0
2022-04-08,Dinner,Fish,501.0,15.1,76.0,19.3,20:30,650.0
2022-04-09,Breakfast,Eggs,370.0,,35.4,12.3,08:00,1077.0
2022-04-09,Lunch,Salad,332.0,13.9,43.8,16.4,13:00,46.0
2022-04-09,Supper,Sandwich,593.0,37.6,45.0,32.7,17:00,595.0
2022-04-09,Dinner,Roti,618.0,13.6,50.5,22.9,20:30,217.0
2022-04-10,Breakfast,Poha,621.0,,32.6,12.5,08:00,879.0
2022-04-10,Lunch,Rice,663.0,10.7,35.8,,13:00,163.0
2022-04-10,Supper,,,,,,,
2022-04-10,Dinner,,,,,,,
2022-04-11,Breakfast,,,,,,,
2022-04-11,Lunch,Dal,386.0,24.6,52.9,22.6,13:00,439.0
2022-04-11,Supper,Fruit,667.0,10.8,86.4,26.8,17:00,577.0
2022-04-11,Dinner,,,,,,,
2022-04-12,Breakfast,Oats,420.0,12.4,55.8,23.1,,471.0
2022-04-12,Lunch,Rice,342.0,38.7,79.8,21.1,13:00,1462.0
2022-04-12,Supper,Sprouts,520.0,26.3,29.9,18.5,,1121.0
2022-04-12,Dinner,Soup,488.0,29.0,,9.8,20:30,38.0
2022-04-13,Breakfast,Poha,381.0,26.2,,25.7,08:00,412.0
2022-04-13,Lunch,Salad,408.0,,75.2,22.8,13:00,716.0
2022-04-13,Supper,,,,,,,
2022-04-13,Dinner,,,,,,,
2022-04-14,Breakfast,Oats,632.0,41.2,73.7,32.5,08:00,800.0
2022-04-14,Lunch,,,,,,,
2022-04-14,Supper,Yogurt,581.0,26.6,71.6,15.3,17:00,975.0
2022-04-14,Dinner,Soup,387.0,27.7,37.2,10.1,20:30,134.0
2022-04-15,Breakfast,Smoothie,654.0,34.3,39.2,24.1,08:00,650.0
2022-04-15,Lunch,Curd,589.0,37.1,73.6,12.1,13:00,886.0
2022-04-15,Supper,Sprouts,565.0,11.4,68.3,16.7,17:00,164.0
2022-04-15,Dinner,,,,,,,
2022-04-16,Breakfast,Toast,694.0,36.2,77.4,,08:00,223.0
2022-04-16,Lunch,Salad,436.0,,51.4,,,18.0
2022-04-16,Supper,Fruit,605.0,11.4,79.4,24.7,17:00,26.0
2022-04-16,Dinner,,,,,,,
2022-04-17,Breakfast,Toast,359.0,23.0,65.2,25.1,08:00,1283.0
2022-04-17,Lunch,Curd,658.0,27.6,86.7,,13:00,170.0
2022-04-17,Supper,Fruit,308.0,34.4,67.2,15.4,17:00,984.0
2022-04-17,Dinner,Tofu,491.0,,79.4,12.6,20:30,959.0
2022-04-18,Breakfast,,,,,,,
2022-04-18,Lunch,Curd,571.0,42.2,,,13:00,
2022-04-18,Supper,Sandwich,365.0,18.6,69.9,24.1,17:00,223.0
2022-04-18,Dinner,Roti,668.0,17.0,39.1,26.7,20:30,1136.0
2022-04-19,Breakfast,Toast,347.0,12.5,38.7,,08:00,571.0
2022-04-19,Lunch,,,,,,,
2022-04-19,Supper,Nuts,542.0,36.6,87.9,19.9,17:00,935.0
2022-04-19,Dinner,,,,,,,
2022-04-20,Breakfast,Eggs,697.0,,89.1,15.3,08:00,1050.0
2022-04-20,Lunch,Curd,515.0,27.7,34.4,,13:00,61.0
